signatur;titel;laufzeit;geo_koordinate_x;geo_koordinate_y
11707;Kanalbaustelle, Hannover-Vahrenwald;1915;52.408707;9.736436
11457;Brücke Nr. 114 b, Engelbostel-Hannover-Stöcken;1910;52.423473;9.689259
11990;Weidenpflanzungen am rechten Ufer des Kanals km 161,5;1940;;
11723;Fertiger eiserner Ãœberbau der Brücke bei Seelze-Almhorst;1912;52.390542;9.584674
11584;Tonbagger, Berenbostel;1915;52.417168;9.622449
11634;Dükerbau bei der Kanalstrecke, Hannover-Vahrenwald;1915;52.411966;9.726569
11554;Ãœberschwemmte Wiese des Havelser Einwohners Mussmann durch Rückstau im Garbsener Graben (auch Havelser Graben), Havelse;1916;;
11749;Montage des eisernen Ãœberbaus der Lohnder Landstrassenbrücke bei Lohnde;1913;52.399929;9.568475
11601;Döbbeckesche Wiese, Havelse;1915;;
11452;Brücke Nr. 114 b, Engelbostel-Hannover-Stöcken;1910;52.423385;9.689222
